id,protein,taxa,e-value
WP_148487267.1, MULTISPECIES: ATP-binding cassette domain-containing protein,Eubacterium sp,8.17E-89
WP_117993804.1, amino acid ABC transporter ATP-binding protein,Eubacterium sp,8.19E-89
WP_154253273.1, MULTISPECIES: ATP-binding cassette domain-containing protein,Eubacterium sp,9.84E-89
WP_129878909.1, amino acid ABC transporter ATP-binding protein,Eubacterium sp,1.30E-88
WP_118115164.1, amino acid ABC transporter ATP-binding protein,Eubacterium sp,2.24E-88
WP_021911166.1, hypothetical protein,Eubacterium sp,2.69E-88
WP_021907273.1, ABC transporter ATP-binding protein,Eubacterium sp,2.93E-88
WP_117925229.1, amino acid ABC transporter ATP-binding protein,Eubacterium sp,3.66E-88
WP_048596336.1, amino acid ABC transporter ATP-binding protein,Fannyhessea vaginae,2.98E-130
WP_061103232.1, amino acid ABC transporter ATP-binding protein,Fannyhessea vaginae,3.75E-130
WP_006302448.1, amino acid ABC transporter ATP-binding protein,Fannyhessea vaginae,1.22E-129
WP_040327151.1, amino acid ABC transporter ATP-binding protein,Fannyhessea vaginae,3.63E-128
WP_029597121.1, amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,9.99E-97
NP_603698.1, amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,1.53E-96
WP_005903445.1, amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,1.69E-96
WP_032888422.1, amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,1.80E-96
WP_088387715.1, amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,5.32E-96
WP_005912477.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,6.99E-96
WP_029599958.1, amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,7.79E-96
WP_005900394.1, amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,9.28E-96
WP_005898002.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,2.38E-95
WP_008797416.1, amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,2.65E-95
WP_008799318.1, amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,1.10E-94
WP_016339918.1, amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,1.83E-94
WP_008691602.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,1.92E-94
WP_005908744.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,2.72E-94
WP_029757645.1, amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,5.59E-94
WP_009007335.1, amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,1.08E-93
WP_098702452.1, amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,1.51E-93
WP_005906585.1," ABC superfamily ATP binding cassette transporter, ABC protein",Fusobacterium nucleatum,1.56E-93
WP_008795423.1, amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,2.55E-93
WP_150408625.1, amino acid ABC transporter ATP-binding protein,Fusobacterium nucleatum,1.36E-92
WP_005904796.1," glutamate ABC superfamily ATP binding cassette transporter, ABC protein",Fusobacterium nucleatum,2.73E-88
tr|I4M349|I4M349_GARVA, ABC transporter related protein,Gardnerella genomosp10,3.17E-173
tr|I4LY42|I4LY42_GARVA, ATP binding protein of ABC transporter,Gardnerella genomosp10;Gardnerella genomosp8,8.15E-92
WP_060786702.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp11,0
WP_060786623.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp11,1.35E-90
WP_075523277.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp12,4.85E-168
WP_082266230.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp12,1.29E-91
WP_103084245.1, glutamate ABC transporter ATP-binding protein,Gardnerella genomosp13,3.97E-174
WP_103084799.1, ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA,Gardnerella genomosp13,2.86E-89
WP_004137994.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp14;Gardnerella genomosp15;Gardnerella genomosp17;Gardnerella genomosp3;Gardnerella piotii;Gardnerella vaginalis,0
WP_014554542.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp14;Gardnerella vaginalis,3.97E-89
WP_115761852.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp15,3.30E-90
WP_115793890.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp15,1.77E-88
WP_016810534.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp16;Gardnerella genomosp2,0
WP_004120849.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp16;Gardnerella genomosp2,3.23E-88
WP_115757725.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp17,1.52E-88
WP_102168169.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp18,4.34E-96
WP_102168557.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp18,2.34E-88
WP_003716979.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Gardnerella genomosp18;Lactobacillus vaginalis,7.41E-91
tr|I4LSU0|I4LSU0_GARVA, ATP binding protein of ABC transporter,Gardnerella genomosp2,1.21E-88
WP_019261252.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp2,1.42E-88
tr|I4LVT3|I4LVT3_GARVA, ABC transporter related protein,Gardnerella genomosp2;Gardnerella genomosp3;Gardnerella vaginalis,1.74E-179
WP_032835928.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp3,0
tr|I4M441|I4M441_GARVA, ABC transporter related protein,Gardnerella genomosp3,9.82E-179
tr|S4H6H4|S4H6H4_GARVA," Arginine/ornithine ABC transporter, ATP-binding protein AotP",Gardnerella genomosp3,4.68E-90
WP_004132865.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp3,8.07E-89
WP_032814368.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp7,2.19E-171
WP_016637009.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp7,8.62E-91
WP_029600181.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp8,7.99E-173
tr|I4M7T4|I4M7T4_GARVA, ABC transporter related protein,Gardnerella genomosp8,1.29E-172
WP_102695156.1, ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA,Gardnerella genomosp8,6.55E-92
WP_102695167.1, glutamate ABC transporter ATP-binding protein,Gardnerella genomosp8;Gardnerella genomosp9,2.26E-173
tr|I4MC06|I4MC06_GARVA, ATP binding protein of ABC transporter,Gardnerella genomosp8;Gardnerella genomosp9,7.39E-92
tr|I4MCM5|I4MCM5_GARVA, ABC transporter related protein,Gardnerella genomosp9,5.36E-172
WP_116794632.1, amino acid ABC transporter ATP-binding protein,Gardnerella genomosp9,8.70E-92
WP_032835443.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Gardnerella leopoldii,6.01E-174
tr|D6SXV8|D6SXV8_GARVA," ABC-type polar amino acid transport system, ATPase component",Gardnerella leopoldii,8.22E-174
tr|D6SYH4|D6SYH4_GARVA," ABC-type polar amino acid transporter, ATPase component",Gardnerella leopoldii,1.10E-94
WP_101886097.1, ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA,Gardnerella leopoldii,1.24E-94
WP_004118860.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Gardnerella leopoldii,2.10E-94
tr|S4HPT8|S4HPT8_GARVA," Glutamate ABC transporter, ATP-binding protein GluA",Gardnerella piotii,0
tr|S4G7V7|S4G7V7_GARVA," Arginine/ornithine ABC transporter, ATP-binding protein AotP",Gardnerella piotii,3.89E-90
tr|U6S881|U6S881_GARVA," Arginine/ornithine ABC transporter, ATP-binding protein AotP",Gardnerella piotii,2.30E-89
WP_116438492.1, amino acid ABC transporter ATP-binding protein,Gardnerella piotii,2.41E-89
tr|S4H8J1|S4H8J1_GARVA," Arginine/ornithine ABC transporter, ATP-binding protein AotP",Gardnerella piotii,2.77E-89
WP_116285900.1, amino acid ABC transporter ATP-binding protein,Gardnerella piotii,6.49E-89
tr|S4HHL9|S4HHL9_GARVA," Arginine/ornithine ABC transporter, ATP-binding protein AotP",Gardnerella piotii,1.36E-88
WP_033888502.1, amino acid ABC transporter ATP-binding protein,Gardnerella swidsinskii,7.00E-175
tr|D6SZA2|D6SZA2_GARVA," ABC-type polar amino acid transport system, ATPase component",Gardnerella swidsinskii,7.13E-139
WP_116773689.1, amino acid ABC transporter ATP-binding protein,Gardnerella swidsinskii,3.66E-95
WP_064621500.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Gardnerella swidsinskii,1.63E-94
WP_102155697.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Gardnerella swidsinskii,2.73E-94
tr|D6SZX7|D6SZX7_GARVA," ABC-type polar amino acid transporter, ATPase component",Gardnerella swidsinskii,7.87E-94
WP_116431593.1, amino acid ABC transporter ATP-binding protein,Gardnerella swidsinskii,1.30E-93
WP_012914377.1, amino acid ABC transporter ATP-binding protein,Gardnerella swidsinskii,7.22E-93
WP_076002971.1, amino acid ABC transporter ATP-binding protein,Gardnerella swidsinskii,7.46E-93
WP_065189464.1, amino acid ABC transporter ATP-binding protein,Gardnerella vaginalis,9.11E-90
tr|S4GSF3|S4GSF3_GARVA," Arginine/ornithine ABC transporter, ATP-binding protein AotP",Gardnerella vaginalis,1.93E-89
WP_004114933.1, amino acid ABC transporter ATP-binding protein,Gardnerella vaginalis,3.60E-89
WP_101887952.1, ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA,Gardnerella vaginalis,5.00E-89
tr|S4H2K2|S4H2K2_GARVA," ABC transporter, ATP-binding protein",Gardnerella vaginalis,5.51E-89
WP_103013189.1, ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA,Gardnerella vaginalis,6.28E-89
WP_004117711.1, amino acid ABC transporter ATP-binding protein,Gardnerella vaginalis,8.91E-89
WP_048729885.1, amino acid ABC transporter ATP-binding protein,Gardnerella vaginalis,1.95E-88
YP_003986030.1, ABC transporter ATP-binding protein,Gardnerella vaginalis,2.25E-88
WP_004113503.1, amino acid ABC transporter ATP-binding protein,Gardnerella vaginalis,3.37E-88
WP_066130647.1, amino acid ABC transporter ATP-binding protein,Gemella asaccharolytica,1.57E-89
WP_060914364.1, amino acid ABC transporter ATP-binding protein,Gemella haemolysans,1.96E-88
WP_003145803.1, amino acid ABC transporter ATP-binding protein,Gemella haemolysans,2.43E-88
WP_001229598.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Haemophilus haemolyticus,4.72E-95
WP_050250236.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Haemophilus haemolyticus,9.64E-95
WP_001096313.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Haemophilus haemolyticus,1.77E-92
WP_006915803.1, amino acid ABC transporter ATP-binding protein,Lactobacillus coleohominis,9.20E-93
WP_006915898.1, amino acid ABC transporter ATP-binding protein,Lactobacillus coleohominis,1.96E-88
EFD99817.1," ABC transporter, ATP-binding protein",Lactobacillus crispatus,9.66E-98
CBL49573.1," Amino acid ABC transporter, ATP-binding protein",Lactobacillus crispatus,1.11E-97
PKZ84734.1, glutamine ABC transporter ATP-binding protein,Lactobacillus crispatus,1.19E-97
EEJ70034.1," ABC transporter, ATP-binding protein",Lactobacillus crispatus,1.71E-97
KWU03135.1, glutamine ABC transporter ATP-binding protein,Lactobacillus crispatus,4.23E-97
KAA8793749.1, amino acid ABC transporter ATP-binding protein,Lactobacillus crispatus,5.37E-97
OXC15863.1, glutamine ABC transporter ATP-binding protein,Lactobacillus crispatus,1.27E-96
EEU18551.1," arginine ABC transporter, ATP-binding protein ArtM",Lactobacillus crispatus,1.35E-96
CBL50031.1," Glutamine ABC transporter, ATP-binding protein",Lactobacillus crispatus,1.39E-96
ETW74351.1, arginine ABC transporter ATP-binding protein,Lactobacillus crispatus,1.87E-96
OXC32283.1, amino acid ABC transporter ATP-binding protein,Lactobacillus crispatus,2.02E-96
EEW51531.1," ABC transporter, ATP-binding protein",Lactobacillus iners,2.24E-102
EFO70202.1," ABC transporter, ATP-binding protein",Lactobacillus iners,2.89E-102
PMC46422.1, amino acid ABC transporter ATP-binding protein,Lactobacillus iners,5.70E-102
EGG32867.1," ABC transporter, ATP-binding protein",Lactobacillus iners,1.17E-101
EFQ50366.1," ABC transporter, ATP-binding protein",Lactobacillus iners,1.96E-101
EFO69491.1," ABC transporter, ATP-binding protein",Lactobacillus iners,3.15E-97
EFO71836.1," ABC transporter, ATP-binding protein",Lactobacillus iners,7.23E-97
EFQ48269.1," ABC transporter, ATP-binding protein",Lactobacillus iners,1.89E-96
EEW51410.1," ABC transporter, ATP-binding protein",Lactobacillus iners,3.09E-96
EGG31502.1," ABC transporter, ATP-binding protein",Lactobacillus iners,2.06E-88
WP_006587094.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Lactobacillus jensenii,2.33E-95
WP_006587986.1, amino acid ABC transporter ATP-binding protein,Lactobacillus jensenii,4.75E-95
WP_035168582.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,4.98E-97
WP_003668818.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,5.04E-97
WP_003664614.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,5.26E-97
WP_153706455.1, ATP-binding cassette domain-containing protein,Lactobacillus reuteri,5.68E-97
WP_019253156.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,1.05E-96
WP_152742815.1, ATP-binding cassette domain-containing protein,Lactobacillus reuteri,1.18E-96
WP_085678955.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,2.18E-96
WP_003674920.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,2.51E-96
WP_153709899.1, ATP-binding cassette domain-containing protein,Lactobacillus reuteri,2.68E-96
WP_019252695.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,3.41E-96
WP_035157212.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,4.15E-96
WP_066035818.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,6.79E-96
WP_134989454.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,1.01E-95
WP_094511253.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,1.07E-95
WP_003674290.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,5.53E-95
WP_065532833.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,5.72E-95
WP_019251647.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,6.24E-95
WP_085650388.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,7.03E-95
WP_094504269.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,8.02E-95
WP_003665843.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,8.20E-95
WP_107690109.1, glutamine ABC transporter ATP-binding protein,Lactobacillus reuteri,9.55E-95
WP_003671089.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,9.87E-95
WP_065867795.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,1.04E-94
WP_113896535.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,1.07E-94
WP_153706176.1, ATP-binding cassette domain-containing protein,Lactobacillus reuteri,1.26E-94
WP_094508888.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,1.86E-94
WP_029507549.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,2.91E-94
WP_003668144.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,3.55E-94
WP_003673243.1," amino acid ABC transporter ATP-binding protein, partial",Lactobacillus reuteri,4.65E-94
WP_035157801.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,5.37E-94
WP_134988869.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,5.86E-94
WP_132140080.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,1.60E-93
WP_153709742.1, ATP-binding cassette domain-containing protein,Lactobacillus reuteri,2.03E-93
WP_013924004.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,2.86E-92
WP_153710827.1, ATP-binding cassette domain-containing protein,Lactobacillus reuteri,3.38E-91
WP_003670318.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,9.86E-90
WP_003665372.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,1.14E-89
WP_094536819.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,1.28E-89
WP_085679905.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,1.45E-89
WP_087214664.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,3.17E-89
WP_078009416.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,4.60E-89
WP_134988282.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,4.86E-89
WP_003669654.1, amino acid ABC transporter ATP-binding protein,Lactobacillus reuteri,9.35E-89
WP_003716624.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Lactobacillus vaginalis,3.58E-94
WP_003716226.1, amino acid ABC transporter ATP-binding protein,Lactobacillus vaginalis,7.43E-89
WP_124031909.1, amino acid ABC transporter ATP-binding protein,Lactobacillus vaginalis,8.38E-89
WP_034573642.1, amino acid ABC transporter ATP-binding protein,Mageeibacillus indolicus,1.62E-91
WP_012993276.1, amino acid ABC transporter ATP-binding protein,Mageeibacillus indolicus,4.72E-91
WP_102892341.1, amino acid ABC transporter ATP-binding protein,Mageeibacillus indolicus,6.21E-90
WP_062485848.1, amino acid ABC transporter ATP-binding protein,Megasphaera hutchinsoni,9.42E-94
WP_023052779.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Megasphaera lornae,1.16E-94
WP_007390521.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Megasphaera lornae,5.11E-94
WP_059075282.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Megasphaera lornae,3.07E-92
WP_118022878.1, amino acid ABC transporter ATP-binding protein,Megasphaera lornae,3.95E-92
WP_095628892.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Megasphaera lornae,1.63E-91
WP_087478690.1, amino acid ABC transporter ATP-binding protein,Megasphaera lornae,6.06E-91
WP_020311101.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Megasphaera lornae,7.62E-91
WP_062412042.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Megasphaera lornae,3.33E-90
WP_044503953.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Megasphaera lornae,6.14E-90
WP_006942761.1, amino acid ABC transporter ATP-binding protein,Megasphaera micronuciformis,4.93E-95
WP_040659185.1, amino acid ABC transporter ATP-binding protein,Oscillibacter ruminantium,4.37E-97
WP_091791769.1, amino acid ABC transporter ATP-binding protein,Peptococcus niger,1.71E-90
WP_019124902.1, amino acid ABC transporter ATP-binding protein,Peptoniphilus grossensis,2.88E-96
WP_075659460.1, amino acid ABC transporter ATP-binding protein,Peptoniphilus grossensis,5.86E-96
WP_009345718.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Peptoniphilus lacrimalis,4.31E-96
WP_004825014.1, amino acid ABC transporter ATP-binding protein,Peptoniphilus lacrimalis,5.67E-96
WP_006148863.1, MULTISPECIES: peptide ABC transporter ATP-binding protein,Peptoniphilus lacrimalis,8.97E-93
WP_036754651.1, peptide ABC transporter ATP-binding protein,Peptoniphilus lacrimalis,3.13E-90
WP_004823835.1, amino acid ABC transporter ATP-binding protein,Peptoniphilus lacrimalis,2.57E-89
WP_036759196.1, ABC transporter,Peptoniphilus lacrimalis,3.42E-89
WP_002843255.1, amino acid ABC transporter ATP-binding protein,Peptostreptococcus anaerobius,5.17E-99
WP_002845420.1, amino acid ABC transporter ATP-binding protein,Peptostreptococcus anaerobius,2.36E-98
WP_154538112.1, ATP-binding cassette domain-containing protein,Peptostreptococcus anaerobius,1.33E-94
WP_007790815.1, amino acid ABC transporter ATP-binding protein,Peptostreptococcus stomatis,2.38E-92
WP_000053149.1, amino acid ABC transporter ATP-binding protein,Streptococcus agalactiae,1.97E-94
WP_000053145.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Streptococcus agalactiae,2.99E-94
WP_000230128.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Streptococcus agalactiae,3.39E-94
WP_016480611.1, amino acid ABC transporter ATP-binding protein,Streptococcus agalactiae,5.94E-94
WP_000230126.1, amino acid ABC transporter ATP-binding protein,Streptococcus agalactiae,5.98E-94
WP_000053154.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Streptococcus agalactiae,8.07E-94
